frame= 1685 fps= 30 q=-1.0 size=   36429kB time=00:00:56.18 bitrate=5311.1kbits/s speed=   1x    
frame= 1700 fps= 30 q=-1.0 size=   36667kB time=00:00:56.68 bitrate=5298.6kbits/s speed=   1x    
frame= 1716 fps= 30 q=-1.0 size=   36949kB time=00:00:57.22 bitrate=5289.7kbits/s speed=   1x    
frame= 1729 fps= 30 q=-1.0 size=   37210kB time=00:00:57.69 bitrate=5283.2kbits/s speed=   1x    
frame= 1745 fps= 30 q=-1.0 size=   37811kB time=00:00:58.20 bitrate=5321.3kbits/s speed=   1x    
frame= 1761 fps= 30 q=-1.0 size=   38133kB time=00:00:58.72 bitrate=5319.8kbits/s speed=   1x    
frame= 1775 fps= 30 q=-1.0 size=   38439kB time=00:00:59.21 bitrate=5318.1kbits/s speed=   1x    
frame= 1791 fps= 30 q=-1.0 size=   38707kB time=00:00:59.72 bitrate=5309.4kbits/s speed=   1x    
frame= 1807 fps= 30 q=-1.0 size=   39224kB time=00:01:00.25 bitrate=5332.6kbits/s speed=   1x    
frame= 1820 fps= 30 q=-1.0 size=   39485kB time=00:01:00.74 bitrate=5324.6kbits/s speed=   1x    
frame= 1837 fps= 30 q=-1.0 size=   39751kB time=00:01:01.25 bitrate=5316.1kbits/s speed=   1x    
frame= 1850 fps= 30 q=-1.0 size=   40014kB time=00:01:01.75 bitrate=5308.3kbits/s speed=   1x    
frame= 1866 fps= 30 q=-1.0 size=   40511kB time=00:01:02.26 bitrate=5330.1kbits/s speed=   1x    
frame= 1882 fps= 30 q=-1.0 size=   40769kB time=00:01:02.75 bitrate=5321.8kbits/s speed=   1x    
frame= 1897 fps= 30 q=-1.0 size=   41031kB time=00:01:03.25 bitrate=5313.8kbits/s speed=   1x    
frame= 1911 fps= 30 q=-1.0 size=   41296kB time=00:01:03.75 bitrate=5306.1kbits/s speed=   1x    
frame= 1926 fps= 30 q=-1.0 size=   41871kB time=00:01:04.26 bitrate=5337.1kbits/s speed=   1x    
frame= 1942 fps= 30 q=-1.0 size=   42146kB time=00:01:04.78 bitrate=5329.7kbits/s speed=   1x    
frame= 1958 fps= 30 q=-1.0 size=   42387kB time=00:01:05.28 bitrate=5318.4kbits/s speed=   1x    
frame= 1972 fps= 30 q=-1.0 size=   42669kB time=00:01:05.78 bitrate=5313.6kbits/s speed=   1x    
frame= 1988 fps= 30 q=-1.0 size=   43117kB time=00:01:06.28 bitrate=5328.4kbits/s speed=   1x    
frame= 2002 fps= 30 q=-1.0 size=   43380kB time=00:01:06.78 bitrate=5321.1kbits/s speed=   1x    
frame= 2017 fps= 30 q=-1.0 size=   43636kB time=00:01:07.31 bitrate=5310.0kbits/s speed=   1x    
frame= 2033 fps= 30 q=-1.0 size=   43915kB time=00:01:07.80 bitrate=5305.4kbits/s speed=   1x    
frame= 2049 fps= 30 q=-1.0 size=   44366kB time=00:01:08.32 bitrate=5319.6kbits/s speed=   1x    
frame= 2063 fps= 30 q=-1.0 size=   44738kB time=00:01:08.81 bitrate=5326.1kbits/s speed=   1x    
frame= 2079 fps= 30 q=-1.0 size=   45028kB time=00:01:09.32 bitrate=5321.1kbits/s speed=   1x    
frame= 2095 fps= 30 q=-1.0 size=   45325kB time=00:01:09.85 bitrate=5315.2kbits/s speed=   1x    
frame= 2108 fps= 30 q=-1.0 size=   45794kB time=00:01:10.32 bitrate=5334.3kbits/s speed=   1x    
frame= 2123 fps= 30 q=-1.0 size=   46023kB time=00:01:10.86 bitrate=5320.7kbits/s speed=   1x    
frame= 2141 fps= 30 q=-1.0 size=   46288kB time=00:01:11.38 bitrate=5311.6kbits/s speed=   1x    
frame= 2156 fps= 30 q=-1.0 size=   46539kB time=00:01:11.88 bitrate=5303.3kbits/s speed=   1x    
